question,expected_type,actual_type,prediction,reference,faithfulness,answer_relevancy,context_precision,context_recall
"donne-moi exactement les statistiques de base de pikachu (pv, attaque, défense, attaque spéciale, défense spéciale, vitesse).",statistics,semantic,"Les statistiques de base de Pikachu-Gmax sont les suivantes : PV : 35, Attaque : 55, Défense : 40, Attaque spéciale : 50, Défense spéciale : 50, Vitesse : 90. Pikachu-Gmax est de type Électrique et possède les capacités Static et Lightning-Rod. Il lui arrive de remettre d’aplomb un Pikachu allié en lui envoyant une décharge électrique.","pikachu a 35 points de vie, 55 d'attaque, 40 de défense, 50 d'attaque spéciale, 50 de défense spéciale et 90 de vitesse.",0.8571428571428572,0.3824175824175824,1.0,0.5625
"donne-moi exactement les statistiques de base de bulbizarre (pv, attaque, défense, attaque spéciale, défense spéciale, vitesse).",statistics,semantic,"Les statistiques de base de Bulbizarre sont les suivantes : PV : 45, Attaque : 49, Défense : 49, Attaque Spéciale : 65, Défense Spéciale : 65, Vitesse : 45. Bulbizarre est un Pokémon de type Plante et Poison. Il a les capacités Overgrow et Chlorophyll.","bulbizarre a 45 points de vie, 49 d'attaque, 49 de défense, 65 d'attaque spéciale, 65 de défense spéciale et 45 de vitesse.",0.8571428571428572,0.4879356568364611,1.0,0.04904632152588556
quels sont les deux types de dracaufeu et ses capacités spéciales selon le pokédex ?,statistics,semantic,Dracaufeu est un Pokémon de type Feu et Vol. Ses capacités spéciales sont Blaze et Solar Power.,dracaufeu est de type feu et vol. ses capacités spéciales sont blaze et solar power.,1.0,0.9378531073446328,0.9230769230769231,0.03896103896103896
quels sont les deux types de florizarre et ses capacités spéciales selon le pokédex ?,statistics,semantic,Florizarre est un Pokémon de type Plante et Poison. Je n'ai pas d'informations sur ses capacités spéciales.,florizarre est de type plante et poison. ses capacités spéciales sont overgrow et chlorophyll.,0.7272727272727273,0.6432160804020101,0.8333333333333334,0.02127659574468085
donne la liste complète des pokémon de type feu de la première génération.,categorization,semantic,Les Pokémon de type Feu de la première génération mentionnés dans le contexte sont Ponyta et Magmar. Ponyta est un Pokémon équin avec des flammes jaune et rouge orangé qui forment sa crinière et sa queue. Magmar a le corps parsemé de motifs de flammes orange et jaune.,"les pokémon de type feu de la première génération sont salamèche, reptincel, dracaufeu, caninos, arcanin, ponyta, galopa, goupix, feunard, magmar et pyroli.",0.5,0.41232227488151657,0.9285714285714286,0.0962962962962963
cites trois pokémon légendaires de la première génération.,categorization,semantic,i don't have enough information to answer this question accurately.,"trois pokémon légendaires de la première génération sont artikodin, électhor et sulfura.",0.0,0.39215686274509803,0.0,0.0
décris le comportement de ronflex selon poképédia.,description,semantic,"Selon Poképédia, Ronflex est un Pokémon plutôt lourd qui passe son temps à dormir et ne se réveille que pour manger. Il peut faire penser à un ours ou à un panda. Dans Légendes Pokémon : Arceus, ce Pokémon apparait directement endormi, et devient agressif si le joueur perturbe son sommeil.",ronflex passe la majeure partie de son temps à dormir et à manger. il est réputé pour sa grande paresse et son appétit insatiable.,0.5333333333333333,0.37320574162679426,0.96875,0.1297071129707113
quelle est la couleur de pikachu selon le pokédex ?,description,semantic,"selon le pokédex, pikachu a un corps recouvert d'un pelage jaune avec deux bandes horizontales brunes dans le dos. il a également des marquages rouges sur chacune de ses joues. lorsqu'il est chromatique, pikachu a une teinte plus orangée que d'habitude.",pikachu est de couleur jaune.,0.75,0.1357142857142857,0.9354838709677419,0.05132743362831858
en quoi évolue salamèche ?,evolution,semantic,Salamèche évolue en Reptincel à partir du niveau 16. Reptincel évolue ensuite en Dracaufeu à partir du niveau 36. Dracaufeu peut méga-évoluer en Méga-Dracaufeu X ou en Méga-Dracaufeu Y.,salamèche évolue en reptincel.,1.0,0.27230046948356806,1.0,0.03558718861209965
en quoi évolue carapuce ?,evolution,semantic,"Carapuce évolue en Carabaffe à partir du niveau 16. Carabaffe est un Pokémon de type Eau de la première génération. Carabaffe évolue lui-même en Tortank à partir du niveau 36, et Tortank peut méga-évoluer en Méga-Tortank.",carapuce évolue en carabaffe.,1.0,0.22580645161290322,1.0,0.061371841155234655
